,Unnamed: 0,degree,chemical,species,concentration,effect
0,0,0.5,http://id.nlm.nih.gov/mesh/D026023,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,-1.6094378624341017,https://cfpub.epa.gov/ecotox/effect/MOR
1,1,0.5,http://id.nlm.nih.gov/mesh/D003634,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,1.6677068224448686,https://cfpub.epa.gov/ecotox/effect/MOR
2,2,0.5,http://id.nlm.nih.gov/mesh/D004390,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,5.814130531854918,https://cfpub.epa.gov/ecotox/effect/MOR
3,3,0.9,http://id.nlm.nih.gov/mesh/D010278,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,16.737596291349963,https://cfpub.epa.gov/ecotox/effect/MOR
4,4,0.5,http://id.nlm.nih.gov/mesh/D000077922,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,-3.912022505428271,https://cfpub.epa.gov/ecotox/effect/ITX
5,5,0.5,http://id.nlm.nih.gov/mesh/C030856,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/431837,2.8903717584517206,https://cfpub.epa.gov/ecotox/effect/MPH
6,6,0.5,http://id.nlm.nih.gov/mesh/C016837,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,9.999999889225293e-09,https://cfpub.epa.gov/ecotox/effect/MOR
7,7,0.7,http://id.nlm.nih.gov/mesh/D019256,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,0.463104893847845,https://cfpub.epa.gov/ecotox/effect/MOR
8,8,0.5,http://id.nlm.nih.gov/mesh/D004006,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,6.6200732065436885,https://cfpub.epa.gov/ecotox/effect/MOR
9,9,0.5,http://id.nlm.nih.gov/mesh/D012721,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,2.047692844655578,https://cfpub.epa.gov/ecotox/effect/MOR
10,10,0.5,http://id.nlm.nih.gov/mesh/D003634,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,-2.7646203938604583,https://cfpub.epa.gov/ecotox/effect/MOR
11,11,0.5,http://id.nlm.nih.gov/mesh/D003634,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,-3.649658356345344,https://cfpub.epa.gov/ecotox/effect/MOR
12,12,0.5,http://id.nlm.nih.gov/mesh/C025641,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/2836,-2.718100385440572,https://cfpub.epa.gov/ecotox/effect/PHY
13,13,0.5,http://id.nlm.nih.gov/mesh/D008294,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,2.302585093994046,https://cfpub.epa.gov/ecotox/effect/MOR
14,14,0.5,http://id.nlm.nih.gov/mesh/D004026,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,-2.5383072999328453,https://cfpub.epa.gov/ecotox/effect/MOR
15,15,0.5,http://id.nlm.nih.gov/mesh/D012835,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,-0.11093154953409733,https://cfpub.epa.gov/ecotox/effect/REP
16,16,0.5,http://id.nlm.nih.gov/mesh/C009145,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,0.22314355931420968,https://cfpub.epa.gov/ecotox/effect/MOR
17,17,0.5,http://id.nlm.nih.gov/mesh/C106487,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/3193,0.5675839632535338,https://cfpub.epa.gov/ecotox/effect/GRO
18,18,0.5,http://id.nlm.nih.gov/mesh/C065256,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,2.8903717584517206,https://cfpub.epa.gov/ecotox/effect/MOR
19,19,0.5,http://id.nlm.nih.gov/mesh/D005472,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,-2.4191187968904533,https://cfpub.epa.gov/ecotox/effect/GRO
20,20,0.5,http://id.nlm.nih.gov/mesh/D006533,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,-1.5141276871752312,https://cfpub.epa.gov/ecotox/effect/MOR
21,21,0.5,http://id.nlm.nih.gov/mesh/D019287,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,6.322565239945238,https://cfpub.epa.gov/ecotox/effect/MOR
22,22,0.1,http://id.nlm.nih.gov/mesh/D064704,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/3193,-4.342805152290127,https://cfpub.epa.gov/ecotox/effect/REP
23,23,0.5,http://id.nlm.nih.gov/mesh/C030973,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/431838,7.365180126027343,https://cfpub.epa.gov/ecotox/effect/MOR
24,24,0.5,http://id.nlm.nih.gov/mesh/C027561,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,4.18965474217794,https://cfpub.epa.gov/ecotox/effect/MOR
25,25,0.5,http://id.nlm.nih.gov/mesh/C011978,https://www.ncbi.nlm.nih.gov/taxonomy/taxon/33213,-2.617295700847454,https://cfpub.epa.gov/ecotox/effect/MOR
